"Дата";"Регион";"Смертей за день"
03.02.2022;Москва;76
27.01.2022;Москва;72
29.01.2022;Москва;76
04.02.2022;Москва;79
30.01.2022;Москва;77
28.01.2022;Москва;74
02.02.2022;Москва;78
31.01.2022;Москва;75
10.02.2022;Москва;84
05.02.2022;Москва;82
11.02.2022;Санкт-Петербург;66
04.02.2022;Санкт-Петербург;57
05.02.2022;Санкт-Петербург;65
12.02.2022;Санкт-Петербург;69
10.02.2022;Санкт-Петербург;58
01.02.2022;Москва;76
06.02.2022;Санкт-Петербург;67
03.02.2022;Санкт-Петербург;56
13.02.2022;Санкт-Петербург;72
26.01.2022;Москва;74
09.02.2022;Санкт-Петербург;60
24.01.2022;Москва;71
02.02.2022;Санкт-Петербург;63
25.01.2022;Москва;75
06.02.2022;Москва;81
11.02.2022;Москва;81
19.02.2022;Санкт-Петербург;83
30.01.2022;Санкт-Петербург;65
23.01.2022;Москва;73
16.02.2022;Санкт-Петербург;75
20.02.2022;Санкт-Петербург;82
17.02.2022;Санкт-Петербург;74
18.02.2022;Санкт-Петербург;78
22.01.2022;Москва;69
21.01.2022;Москва;72
31.01.2022;Санкт-Петербург;60
07.02.2022;Москва;83
29.01.2022;Санкт-Петербург;63
12.02.2022;Москва;85
28.01.2022;Санкт-Петербург;57
01.02.2022;Санкт-Петербург;58
07.02.2022;Санкт-Петербург;64
08.02.2022;Москва;85
13.02.2022;Москва;86
07.02.2022;Московская обл.;39
09.02.2022;Московская обл.;35
27.01.2022;Санкт-Петербург;64
05.02.2022;Московская обл.;44
20.01.2022;Москва;70
09.02.2022;Москва;82
01.02.2022;Московская обл.;37
31.01.2022;Московская обл.;33
30.01.2022;Московская обл.;36
14.02.2022;Санкт-Петербург;70
16.02.2022;Москва;87
04.02.2022;Московская обл.;34
08.02.2022;Санкт-Петербург;67
29.01.2022;Московская обл.;35
26.01.2022;Санкт-Петербург;55
06.02.2022;Московская обл.;40
02.02.2022;Московская обл.;37
23.02.2022;Санкт-Петербург;83
25.01.2022;Санкт-Петербург;58
17.02.2022;Москва;85
14.02.2022;Москва;82
23.01.2022;Санкт-Петербург;65
12.02.2022;Московская обл.;31
19.06.2021;Москва;76
18.06.2021;Москва;78
21.02.2022;Санкт-Петербург;80
11.02.2022;Московская обл.;38
19.01.2022;Москва;71
24.02.2022;Санкт-Петербург;79
03.02.2022;Московская обл.;36
28.01.2022;Московская обл.;38
24.06.2021;Москва;92
08.02.2022;Московская обл.;38
26.06.2021;Москва;96
22.01.2022;Санкт-Петербург;58
28.10.2021;Москва;95
24.01.2022;Санкт-Петербург;63
18.01.2022;Москва;69
18.02.2022;Москва;86
20.06.2021;Москва;81
24.12.2020;Москва;76
12.02.2022;Красноярский край;27
22.10.2021;Москва;79
15.02.2022;Москва;84
05.12.2020;Москва;74
27.11.2020;Москва;77
25.06.2021;Москва;98
19.02.2022;Красноярский край;23
21.10.2021;Москва;77
18.02.2022;Красноярский край;28
23.10.2021;Москва;82
21.12.2020;Москва;75
25.10.2021;Москва;83
03.12.2020;Москва;73
13.06.2021;Москва;69
04.07.2021;Москва;111
17.02.2022;Красноярский край;21
10.02.2022;Московская обл.;36
31.10.2021;Москва;94
01.07.2021;Москва;108
21.06.2021;Москва;79
25.02.2022;Санкт-Петербург;75
17.01.2022;Москва;67
06.12.2020;Москва;72
29.10.2021;Москва;93
26.12.2020;Москва;77
03.07.2021;Москва;116
